Data,Hora,Plataforma,Tipo,Legenda,Hashtags,Notas
2026-04-21,19:00,Instagram Feed,Lançamento,"🔥 EXCLUSIVO: Ovibeja 2026 - Peça Limitada

Ninho do Dragão cria uma peça ÚNICA e EXCLUSIVA para a Ovibeja 2026.

Azulejos portugueses + Ilustração Ovibeja + Personalização

Resultado? Uma peça que é ARTE.

Apenas 100 peças.

25% desconto se encomendar ESTA SEMANA.

De 60€ para 45€.

Depois sobe para 55€.

Link no bio 👆","#Ovibeja2026 #Exclusivo #LimitedEdition #PortugalArt #NinhoDoDragao #Presentes #Personalizados",Foto da peça Ovibeja
2026-04-21,19:00,Facebook,Lançamento,"🔥 EXCLUSIVO: Ovibeja 2026 - Peça Limitada

Ninho do Dragão cria uma peça ÚNICA e EXCLUSIVA para a Ovibeja 2026.

Azulejos portugueses + Ilustração Ovibeja + Personalização

Resultado? Uma peça que é ARTE.

Apenas 100 peças.

25% desconto se encomendar ESTA SEMANA.

De 60€ para 45€.

Depois sobe para 55€.

Link no bio 👆","#Ovibeja2026 #Exclusivo #LimitedEdition #PortugalArt #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-04-21,14:00,Email,Lançamento,"Assunto: 🔥 EXCLUSIVO: Ovibeja 2026 - Peça Limitada (25% desconto)

Corpo: Temos novidades! 🎉 Ninho do Dragão cria uma peça ÚNICA e EXCLUSIVA para a Ovibeja 2026. Azulejos portugueses + Ilustração Ovibeja + Personalização. Resultado? Uma peça que é ARTE. Apenas 100 peças. 25% desconto se encomendar ESTA SEMANA. De 60€ para 45€. Depois sobe para 55€.","",Enviar para lista de emails
2026-04-21,15:00,WhatsApp,Lançamento,"🔥 LANÇAMENTO: Peça Ovibeja 2026

Azulejos portugueses + Ilustração Ovibeja + Personalização

Apenas 100 peças.

25% desconto se encomendar ESTA SEMANA.

De 60€ para 45€.

Encomenda aqui: [link]

Abraço,
Laila 💚","",Enviar para contactos WhatsApp
2026-04-22,19:00,Instagram Feed,Testimonial,"💚 ""Adorei! Ficou PERFEITO! Vou oferecer na Ovibeja!"" - João

Primeira pessoa a encomendar a peça Ovibeja 2026.

Resultado? Satisfação 100%.

Quer fazer o mesmo?

Apenas 100 peças.

25% desconto se encomendar ESTA SEMANA.

De 60€ para 45€.

Link no bio 👆","#Ovibeja2026 #ClientesSatisfeitos #NinhoDoDragao #Presentes #Personalizados",Foto do cliente com peça
2026-04-22,19:00,Facebook,Testimonial,"💚 ""Adorei! Ficou PERFEITO! Vou oferecer na Ovibeja!"" - João

Primeira pessoa a encomendar a peça Ovibeja 2026.

Resultado? Satisfação 100%.

Quer fazer o mesmo?

Apenas 100 peças.

25% desconto se encomendar ESTA SEMANA.

De 60€ para 45€.

Link no bio 👆","#Ovibeja2026 #ClientesSatisfeitos #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-04-23,19:00,Instagram Feed,Educação,"💡 Porque é que a peça Ovibeja 2026 é ESPECIAL?

1️⃣ Azulejos portugueses = Tradição
2️⃣ Ilustração Ovibeja = Memória
3️⃣ Personalização = Único

Resultado? Presente que marca.

Presente que conta história.

Presente que a pessoa nunca esquece.

Apenas 100 peças.

25% desconto se encomendar ESTA SEMANA.

De 60€ para 45€.

Link no bio 👆","#Ovibeja2026 #PortugalArt #NinhoDoDragao #Presentes #Personalizados",Infográfico ou foto
2026-04-23,19:00,Facebook,Educação,"💡 Porque é que a peça Ovibeja 2026 é ESPECIAL?

1️⃣ Azulejos portugueses = Tradição
2️⃣ Ilustração Ovibeja = Memória
3️⃣ Personalização = Único

Resultado? Presente que marca.

Presente que conta história.

Presente que a pessoa nunca esquece.

Apenas 100 peças.

25% desconto se encomendar ESTA SEMANA.

De 60€ para 45€.

Link no bio 👆","#Ovibeja2026 #PortugalArt #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-04-24,19:00,Instagram Feed,Urgência,"⏰ 3 DIAS PARA TERMINAR O DESCONTO

Peça Ovibeja 2026

25% desconto se encomendar ATÉ DOMINGO.

De 60€ para 45€.

Depois sobe para 55€.

Apenas 100 peças (já vendidas 15!).

Não deixes para a última hora.

Encomenda AGORA: [link]","#Ovibeja2026 #UltimaHora #NinhoDoDragao #Presentes #Personalizados",Foto com badge urgência
2026-04-24,19:00,Facebook,Urgência,"⏰ 3 DIAS PARA TERMINAR O DESCONTO

Peça Ovibeja 2026

25% desconto se encomendar ATÉ DOMINGO.

De 60€ para 45€.

Depois sobe para 55€.

Apenas 100 peças (já vendidas 15!).

Não deixes para a última hora.

Encomenda AGORA: [link]","#Ovibeja2026 #UltimaHora #NinhoDoDragao #Presentes #Personalizados",Mesmo que Instagram
2026-04-24,14:00,Email,Urgência,"Assunto: ⏰ 3 DIAS PARA TERMINAR O DESCONTO

Corpo: Apenas 3 dias para terminar o desconto de 25%! Peça Ovibeja 2026. De 60€ para 45€. Depois sobe para 55€. Apenas 100 peças (já vendidas 15!). Não deixes para a última hora.","",Enviar para lista de emails
2026-04-25,19:00,Instagram Feed,Comparação,"Nós vs. Outros

ELES: Presentes genéricos
NÓS: Peça Ovibeja 2026 (EXCLUSIVA)

ELES: Sem significado
NÓS: Com história portuguesa

ELES: Stock ilimitado
NÓS: Apenas 100 peças

ELES: Sem urgência
NÓS: 25% desconto ATÉ DOMINGO

ELES: Sem personalização
NÓS: 100% personalizado

Qual é a diferença?

NÓS CUIDAMOS.

Encomenda a tua peça: [link]","#Ovibeja2026 #Exclusivo #NinhoDoDragao #Presentes #Personalizados",Comparação lado a lado
